Node 1000001  0 0 0 
Node 1000002  0 0 10 
Node 1000003  0 10 0 
Node 1000004  0 10 10 
Node 1000005  10 0 10 
Node 1000006  10 0 0 
Node 1000007  10 10 0 
Node 1000008  10 10 10 
Line 1000001 1000002 
Line 1000001 1000003 
Line 1000002 1000003 
Line 1000003 1000002 
Line 1000003 1000004 
Line 1000002 1000004 
Line 1000005 1000006 
Line 1000005 1000007 
Line 1000006 1000007 
Line 1000005 1000007 
Line 1000005 1000008 
Line 1000007 1000008 
Line 1000006 1000005 
Line 1000006 1000001 
Line 1000005 1000001 
Line 1000001 1000005 
Line 1000001 1000002 
Line 1000005 1000002 
Line 1000008 1000007 
Line 1000008 1000003 
Line 1000007 1000003 
Line 1000008 1000003 
Line 1000008 1000004 
Line 1000003 1000004 
Line 1000003 1000007 
Line 1000003 1000001 
Line 1000007 1000001 
Line 1000001 1000007 
Line 1000001 1000006 
Line 1000007 1000006 
Line 1000008 1000004 
Line 1000008 1000002 
Line 1000004 1000002 
Line 1000008 1000002 
Line 1000008 1000005 
Line 1000002 1000005 
